time,place_id,num_of_rack,tempm_6,hum_6,wspdm_6,wdird_6,wdire_6,pressurem_6,vism_6,windchillm_6,fog_6,rain_6,snow_6,hail_6,thunder_6,tempm_9,hum_9,wspdm_9,wdird_9,wdire_9,pressurem_9,vism_9,windchillm_9,fog_9,rain_9,snow_9,hail_9,thunder_9,tempm_12,hum_12,wspdm_12,wdird_12,wdire_12,pressurem_12,vism_12,windchillm_12,fog_12,rain_12,snow_12,hail_12,thunder_12,tempm_15,hum_15,wspdm_15,wdird_15,wdire_15,pressurem_15,vism_15,windchillm_15,fog_15,rain_15,snow_15,hail_15,thunder_15,tempm_18,hum_18,wspdm_18,wdird_18,wdire_18,pressurem_18,vism_18,windchillm_18,fog_18,rain_18,snow_18,hail_18,thunder_18,target
2015-01-01,703,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,706,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,707,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,702,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,704,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,705,21.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,708,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,709,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,1
2015-01-01,502,14.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,503,15.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
2015-01-01,501,22.0,-6.0,74,11.1,200,SSW,1034,10.0,-10.8,0,0,0,0,0,-5.0,68,9.3,210,SSW,1035,10.0,-9.0,0,0,0,0,0,-3.0,64,9.3,230,SW,1034,10.0,-6.7,0,0,0,0,0,-3.0,64,7.4,250,WSW,1034,8.0,-6.0,0,0,0,0,0,-3.0,74,5.6,0,Variable,1034,6.0,-5.2,0,0,0,0,0,0
